Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio,lat,lon
3764,"荣磊","Northeast","Changchun Film Studio (5)","副导演","Director (2) & 副导演 (3)",1959,"Northeast","False",43.62270374443247,125.25794765683524
3765,"姜秀安","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.6346455568623,124.41894295106582
3766,"姜秀玉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.45583603487119,124.62449968937199
3767,"王连生","Northeast","Changchun Film Studio (1)","美工","美工 (1)",1959,"Northeast","False",43.58669173419326,125.00314469119724
3768,"马薇","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.38436939995818,116.61714989029707
3769,"郭秉","Beijing","Beijing Film Studio (4) & Wuhan Film Studio (1)","Acting","Acting (4)",1959,"Beijing","False",40.3894065550154,116.19161477939785
3770,"谢铁骊","Beijing","Beijing Film Studio (6) & Tianjin Film Studio (1)","Director","副导演 (2) & Director (4) & Scriptwriter (2)",1959,"Beijing","False",39.49250195117737,116.81258809137944
3771,"李干","Xinjiang","Beijing Film Studio (1) & Xinjiang Film Studio (3) & Changchun Film Studio (1)","制片主任","制片主任 (4) & Acting (1)",1959,"Beijing","False",43.547320063437546,86.67136069890766
3772,"赵忠","Beijing","Beijing Film Studio (1) & August First Film Studio (1)","Scriptwriter","Scriptwriter (2)",1959,"Beijing","False",39.07742185156509,116.41636583555179
3773,"杜炳如","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",40.461723836323664,115.6425125073003
3774,"关世南","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",39.682895130392886,116.02640854552617
3775,"刘士德","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.745693666569366,115.74120550138802
3776,"顾小铨","Beijing / Shanghai (state)","Beijing Film Studio (1) & Haiyan Film Studio (1)","Acting","Acting (2)",1959,"Beijing","False",0.27355272192633895,-0.20103109484027004
3777,"邢榕","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",40.12212631376893,115.57745094713127
3778,"刘士达","Beijing","Beijing Film Studio (11)","录音","录音 (11)",1959,"Beijing","False",39.4048248098451,116.27086628855382
3779,"杜子","Beijing","Beijing Film Studio (12)","制片主任 | 制片","制片主任 (6) & 制片 (6)",1959,"Beijing","False",40.07468920309499,115.95945574232171
3780,"颜冷宾","Beijing","Beijing Film Studio (1)","指挥","指挥 (1)",1959,"Beijing","False",40.77959941048584,116.08571286083041
3781,"崔国印","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",40.90216249840068,116.07615340563942
3782,"田润林","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",39.428510023179165,115.97937758254338
3783,"洪牛牛","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",39.1457290624997,115.60011384774836
3784,"王怀文","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.81808515767312,116.80139470092126
3785,"余启定","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",40.622147105481965,116.46770091523958
3786,"王元禄","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.25002061697078,116.66537482253484
3787,"洪琛琛","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.923218072210204,117.33605084573618
3788,"王五","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.0835642543108,116.97873032380261
3789,"马海星","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.009540559375765,116.31214730040934
3790,"李大千","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",39.09542958505733,115.98818073084036
3791,"平原","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.35661903561063,116.70747181349583
3792,"杨霁明","Beijing","Beijing Film Studio (3) & Hong Kong Jinsheng Film Company (1)","摄影指导","摄影指导 (2) & 摄影 (1)",1959,"Beijing","False",38.99878466117221,117.25955510631826
3793,"杨予和","Beijing","Beijing Film Studio (10) & Xinjiang Film Studio (1)","美术","美工 (4) & 美术 (6)",1959,"Beijing","False",40.00397422278541,116.29241255557423
3794,"郭来","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.816688974368695,117.26236376610379
3795,"叶怀青","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.812980510596205,116.80781543365137
3796,"梁璞","Beijing","Beijing Film Studio (1)","顾问","顾问 (1)",1959,"Beijing","False",40.541680400504,116.5440625274974
3797,"关满栋","Beijing","Beijing Film Studio (1)","顾问","顾问 (1)",1959,"Beijing","False",40.256733378750646,117.33676713750903
3798,"金茂圻","Beijing","Beijing Film Studio (1)","顾问","顾问 (1)",1959,"Beijing","False",39.31204198111803,116.85588780648253
3799,"顾工","Beijing","Beijing Film Studio (1)","作词","作词 (1)",1959,"Beijing","False",39.14532839885551,116.54790078796127
3800,"李翔","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.19660632719813,116.03159269362496
3801,"石羽","Beijing / Shanghai (private)","Beijing Film Studio (2) & 嘉年影业公司 (1) & Guotai Film Company (1)","Acting","Acting (4)",1949,"Shanghai (private)","True",-0.07168904507421758,0.3848193058962275
3802,"路曦","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",40.60378371465137,115.42236783267302
3803,"孟庆和","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.6547346818597,115.56863389838533
3804,"王培","Beijing","Beijing Film Studio (2)","Acting","Acting (2)",1959,"Beijing","False",39.31682798415485,117.25568379051826
3805,"李耀华","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.62124400364022,116.96911872601667
3806,"谭宁邦","Beijing","Beijing Film Studio (2) & Haiyan Film Studio (2) & August First Film Studio (1)","Acting","Acting (4)",1959,"Beijing / Shanghai (state)","False",39.20618284548486,115.41274504268476
3807,"白瑞克","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",39.70387503766227,117.37258593679645
3808,"杨沫","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",39.781078449166166,116.8086985128321
3809,"谢芳","Beijing","Beijing Film Studio (2) & Tianma Film Studio (1)","Acting","Acting (3)",1959,"Beijing","False",40.4678460911806,115.87728782646376
3810,"马晨曦","Beijing","Beijing Film Studio (1) & August First Film Studio (2)","Acting","Acting (3)",1959,"Beijing","False",39.91637725557842,115.81169296017178
3811,"罗锦麟","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.239888689389055,116.74475649240149
3812,"孙月琴","Beijing","Beijing Film Studio (1)","Acting","Acting (1)",1959,"Beijing","False",40.3269954888094,116.95133839193183
3813,"徐洗繁","Beijing","Beijing Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Beijing","False",39.527647088254355,116.47399461759422
