Id,Label,GeoCategory,Affilations,Main Role,All Roles
1101,"田世珍","Xi'an","Xi'an Film Studio (1)","美工","美工 (1)"
1102,"陈于旦","Xi'an","Xi'an Film Studio (1)","录音","录音 (1)"
1103,"刘斌","Xi'an","Xi'an Film Studio (2)","副导演 | Director","副导演 (1) & Director (1)"
1104,"徐凤文","Xi'an","Xi'an Film Studio (1)","照明","照明 (1)"
1105,"孙超德","Xi'an","Xi'an Film Studio (1)","特技设计","特技设计 (1)"
1106,"宋国毅","Xi'an","Xi'an Film Studio (2)","特技摄影","特技摄影 (2)"
1107,"陈新","Xi'an","Xi'an Film Studio (1)","剧务主任","剧务主任 (1)"
1108,"刘宝德","Xi'an","Xi'an Film Studio (1)","Director","Director (1)"
1109,"卢秉坤","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1110,"王贵君","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1111,"蒋季成","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1112,"王志杰","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1113,"阿依夏木","Xinjiang","Xi'an Film Studio (1) & Xinjiang Film Studio (2)","化妆","Acting (1) & 化妆 (2)"
1114,"周真","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1115,"赵滋民","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1116,"王俊","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1117,"傅成勋","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1118,"智一桐","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1119,"土拉洪","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1120,"达吾提","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1121,"阿卜都维利","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1122,"马中元","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1123,"李广","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1124,"苏勒丹","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1125,"刘芳金","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1126,"宋英山","Xi'an","Xi'an Film Studio (1)","Acting | 剧务主任","剧务主任 (1) & Acting (1)"
1127,"马惠英","Xi'an","Xi'an Film Studio (2)","Acting","Acting (2)"
1128,"李齐","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1129,"凌宣一","Xi'an","Xi'an Film Studio (1)","摄影","摄影 (1)"
1130,"张井南","Xi'an","Xi'an Film Studio (1)","美术","美术 (1)"
1131,"向音","Xi'an","Xi'an Film Studio (1)","作曲","作曲 (1)"
1132,"洪嘉惠","Xi'an","Xi'an Film Studio (3) & Qinghai Film Studio (1)","录音","录音 (3)"
1133,"华永庄","Xi'an","Xi'an Film Studio (1)","副导演","副导演 (1)"
1134,"厦立志","Xi'an","Xi'an Film Studio (1)","特技设计","特技设计 (1)"
1135,"仇明德","Xi'an","Xi'an Film Studio (3) & Qinghai Film Studio (1)","指挥","指挥 (3)"
1136,"吴村","Xi'an","Xi'an Film Studio (1)","Director","Director (1)"
1137,"张若平","Xi'an","Xi'an Film Studio (1)","Director","Director (1)"
1138,"王玉堂","Xi'an","Xi'an Film Studio (2) & Qinghai Film Studio (1)","Acting","Acting (2)"
1139,"吴炳惠","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1140,"成艺","Xi'an","Xi'an Film Studio (2) & Qinghai Film Studio (1)","Acting","Acting (2)"
1141,"侯正民","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1142,"易东林","Xi'an","Xi'an Film Studio (2) & Qinghai Film Studio (1)","Acting","Acting (2)"
