Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
yi ri qian li,一日千里,August First Film Studio,Beijing,True
yong bu xiao shi de dian bo,永不消逝的电波,August First Film Studio,Beijing,True
po chu mi xin,破除迷信,August First Film Studio,Beijing,
fan lao huan tong,返老还童,August First Film Studio,Beijing,True
jin ling zhuan,金铃传,August First Film Studio,Beijing,True
hai kuo tian kong,海阔天空,August First Film Studio,Beijing,True
lang ya shan wu zhuang shi,狼牙山五壮士,August First Film Studio,Beijing,True
xian wei shu ji,县委书记,August First Film Studio,Beijing,
yang guan da dao,阳关大道,August First Film Studio,Beijing,
jie ban ren,接班人,Pearl River Film Studio,Canton,
chuan chang zhui zong,船厂追踪,Changchun Film Studio,Northeast,
gang zhu fei che,钢珠飞车,Changchun Film Studio,Northeast,True
kang zhuang da dao,康庄大道,Changchun Film Studio,Northeast,True
wo men cun li de nian qing ren (shang ji),我们村里的年轻人（上集）,Changchun Film Studio,Northeast,True
xi cheng de gu shi,锡城的故事,Changchun Film Studio,Northeast,True
xiao zhu yan kai,笑逐颜开,Changchun Film Studio & Harbin Film Studio,Northeast,True
shi hang,试航,Changchun Film Studio,Northeast,
bing shang jie mei,冰上姐妹,Changchun Film Studio,Northeast,True
jie qin pei,借亲配,Changchun Film Studio,Northeast,
wu duo jin hua,五朵金花,Changchun Film Studio,Northeast,True
zhao xia,朝霞,Changchun Film Studio,Northeast,
yun wu shan zhong,云雾山中,Changchun Film Studio,Northeast,True
qing yun qu,青云曲,Changchun Film Studio,Northeast,
san kan hu die meng,三勘蝴蝶梦,Changchun Film Studio,Northeast,
hai shang shen ying,海上神鹰,Changchun Film Studio,Northeast,True
dou e yuan,窦娥冤,Changchun Film Studio,Northeast,
jin yu ji,金玉姬,Changchun Film Studio,Northeast,
huan le ren jian,换了人间,Changchun Film Studio,Northeast,True
zhan huo zhong de qing chun,战火中的青春,Changchun Film Studio,Northeast,True
liu shui huan ge,流水欢歌,Changchun Film Studio,Northeast,
qian shao,前哨,Changchun Film Studio,Northeast,True
chen san liang,陈三两,Changchun Film Studio,Northeast,
shuai jing jia,摔镜架,Changchun Film Studio,Northeast,
